filename,title,description,feature,topic,role,level
./metadata.md,,,,,,
./help/assets/TOC.md,,,,,,
help/assets/overview.md,AEM Assets Videos and Tutorials,A collection of videos and tutorials for Adobe Experience Manager Assets,,,,
help/assets/configuring/baseline-folders.md,Baseline folders,Defining baseline folders in AEM Assets helps establish a solid content architecture and foundation for your digital asset management. ,Asset Management,Content Management,Business Practitioner,Beginner
help/assets/configuring/baseline-permissions.md,Baseline permissions,"Managing user access on the baseline asset folders is a critical aspect in governance, and ensures the processes can be properly supported.",Asset Management,Content Management,Business Practitioner,Beginner
help/assets/configuring/tagging.md,Tagging,Tags are an integral tool for managing assets across Assets' folder hierarchy. Establishing a tagging taxonomy is critical in allowing users to discover and assets and organize assets in AEM.,Asset Management,Content Management,Business Practitioner,Beginner
help/assets/configuring/metadata-schemas.md,Metadata schemas,"Metadata schemas define the interface users interact with asset metadata in AEM, and their definition and application to assets are critical to digital asset management.",Metadata,Content Management,Business Practitioner,Beginner
help/assets/configuring/metadata-profiles.md,Metadata profiles,"Metadata profiles allow for the automatic application of default metadata to assets within asset folders, helping reduce the burden of metadata management on AEM users, and increasing metadata consistency.",Metadata,Content Management,Business Practitioner,Beginner
help/assets/configuring/metadata-folder-schemas.md,Metadata folder schemas,"Metadata folder schemas allow users to manage and review metadata associated with asset folders themselves, rather than directly on assets.",Metadata,Content Management,Business Practitioner,Beginner
help/assets/configuring/assets-admin-search-rail.md,Assets admin search rail,The Assets admin search rail allows assets to be searched for using custom criteria in Omnisearch.,Search,Content Management,Administrator,Intermediate
help/assets/configuring/processing-profiles.md,Processing profiles,Processing profiles define the renditions to be created for assets in AEM as a Cloud Service.,Asset Compute Microservices,Integrations,Developer,Beginner
help/assets/configuring/auto-start-workflows.md,Auto-start Workflows,Auto-start workflows extend asset processing by automatically invoking custom workflow upon upload or re-processing.,"Asset Compute Microservices, Workflow",Development,Developer,Intermediate
help/assets/./authoring/navigation.md,Navigation,Explore the basics for navigation AEM Assets.,Asset Management,Content Management,Business Practitioner,Beginner
help/assets/./authoring/basic-operations.md,Basic Operations,"Learn about the basic operations of AEM Assets including how to create folders, as well as upload, copy, move and delete assets.",Asset Management,Content Management,Business Practitioner,Beginner
