filename,title,description,feature,topic,role,level
./metadata.md,,,,,,
./help/cloud-service/TOC.md,,,,,,
help/cloud-service/./overview.md,Adobe Experience Manager as Cloud Service Tutorials,A collection of tutorials for Adobe Experience Manager (AEM) as a Cloud Service,,,,
help/cloud-service/./introduction/what-is-aem-as-a-cloud-service.md,What is AEM as a Cloud Service?,"Explore what AEM as a Cloud Service is, and how it differs from other version of Adobe Experience Manager.",,Architecture,"Architect, Developer",Beginner
help/cloud-service/./introduction/evolution.md,Evolution of AEM as a Cloud Service,"Explore the history of AEM and the differences between on premise AEM, Adobe Managed Services AEM, and AEM as a Cloud Service. ",,Architecture,"Architect, Developer",Beginner
help/cloud-service/./introduction/architecture.md,Architecture of AEM as a Cloud Service,Explore the underlying architecture and important pieces of AEM as a Cloud Service. Deep dives into Cloud Manager and the APIs.,,Architecture,"Architect, Developer",Beginner
help/cloud-service/./introduction/cloud-manager.md,Explore the Importance of Cloud Manager in AEM ,Explore the purpose of Cloud Manager and how it works with AEM as a Cloud Service.,,Architecture,"Architect, Developer",Beginner
help/cloud-service/./underlying-technology/introduction-architecture.md,Introduction to the AEM Architecture Stack,"Introduces the technologies of OSGi, JCR, Oak, and Sling as part of Adobe Experience Manager's technology stack.",,Architecture,"Architect, Developer",Beginner
help/cloud-service/./underlying-technology/introduction-osgi.md,Introduction to OSGi,"An introduction to OSGi, a dynamic modular architecture for Java applications that is the basis for Adobe Experience Manager.",,Architecture,"Architect, Developer",Beginner
help/cloud-service/./underlying-technology/introduction-jcr.md,Introduction to the Java Content Repository (JCR),"An introduction to the JCR (Java Content Repository) used by Adobe Experience Manager. The JCR is the base level of the AEM technology stack and is responsible for underlying content persistence, storage, search, access control and much more!",,Architecture,"Architect, Developer",Beginner
help/cloud-service/./underlying-technology/introduction-sling.md,Introduction to Sling,"An introduction to Sling, an open-source RESTful web framework that is part of Adobe Experience Manager's underlying technology stack.",,Architecture,"Architect, Developer",Beginner
help/cloud-service/./underlying-technology/introduction-author-publish.md,Introduction to Author and Publish Tier,An introduction to the Author and Publish tiers as part of the architecture in Adobe Experience Manager.,Publishing,Architecture,"Architect, Developer",Beginner
help/cloud-service/./underlying-technology/introduction-dispatcher.md,Introduction to Dispatcher,An introduction to the capabilities and features of the dispatcher as part of the AEM architecture.,Dispatcher,"Architecture, Performance","Architect, Developer",Beginner
help/cloud-service/./cloud-manager/programs.md,Using Adobe Cloud Manager - Programs,"Cloud Manager Programs represent sets of AEM environments supporting logical sets of business initiatives, typically corresponding to a purchased Service Level Agreement (SLA). For example, one Program may represent the AEM resources to support the global public Web sites, while another Program represents an internal Central DAM.",,Architecture,"Architect, Developer, Administrator",Beginner
help/cloud-service/./cloud-manager/environments.md,Using Adobe Cloud Manager - Environments,"Cloud Manager Environments are composed of AEM Author, AEM Publish and Dispatcher services. Different environments support roles and can be engaged using different CI/CD Pipelines. Cloud Manager environments typically have one Production environment, one Stage environment, and one Development environment.",,Architecture,"Architect, Developer, Administrator",Beginner
help/cloud-service/./cloud-manager/cicd-production-pipeline.md,Using Adobe Cloud Manager - CI/CD Production Pipeline,"The CI/CD Production Pipeline is used to build and deploy code through Stage to the Production environment, decreasing time to value. The CI/CD Production Pipeline configuration defines the trigger that will initiate the pipeline, parameters controlling the production deployment and performance test parameters. ",,Architecture,"Architect, Developer, Administrator",Beginner
help/cloud-service/./cloud-manager/cicd-non-production-pipeline.md,Using Adobe Cloud Manager - CI/CD Non-Production Pipeline,"CI/CD Non-production pipelines are broken into two categories, Code Quality pipelines, and Deployment pipelines. Code Quality pipelines all code from a Git branch to build and be evaluated against Cloud Manager's code quality scan. Deployment pipelines support the automated deployment of code from the Git repository to any Non-production environment, meaning any provisioned AEM environment that is not Stage or Production.",,Architecture,"Architect, Developer, Administrator",Beginner
help/cloud-service/./cloud-manager/activity.md,Using Adobe Cloud Manager - Activity,"Cloud Manager provides a consolidated view into a Program's activity, listing all CI/CD Pipeline executions, both production and non-production. This allows users to view any pipelines currently in progress and review previous deployments.",,Architecture,"Architect, Developer, Administrator",Beginner
help/cloud-service/./cloud-manager/devops/deploy-code.md,Deploying AEM code projects to AEM as a Cloud Service,Explore deploying an AEM code project to AEM as a Cloud Service using Cloud Manager.,Developer Tools,Development,Developer,Beginner
help/cloud-service/./cloud-manager/devops/merge-projects.md,Merging AEM Projects using Github Desktop,"Using Github Desktop, explore how multiple projects can be merged to into a single project for deployment to AEM as a Cloud Service using Cloud Manager.",Developer Tools,Development,Developer,Beginner
help/cloud-service/./cloud-manager/devops/configure-pipelines.md,Configure Cloud Manager Pipelines,Configure a pipeline on AEM and explore the different types of pipelines.,Developer Tools,Development,Developer,Beginner
help/cloud-service/./cloud-manager/devops/continuous-integration.md,Using Continuous Integration with AEM Cloud Manager,Understand best practices and continuous integration using Adobe Cloud Manager.,Developer Tools,Development,Developer,Beginner
help/cloud-service/./cloud-manager/devops/analyze-test-results.md,Analyze AEM Cloud Manager Test Results ,Explore and fix the results of reports from AEM Cloud Manager,Developer Tools,Development,Developer,Beginner
help/cloud-service/./cloud-manager/devops/dispatcher-configurations.md,Manage the dispatcher in AEM Cloud Manager,Manage dispatcher configurations in AEM Cloud Manager.,"Developer Tools, Dispatcher",Development,Developer,Beginner
help/cloud-service/./cloud-manager/devops/cloud-manager-apis.md,Interacting with Cloud Manager using APIs,Explore how Cloud Manager APIs  can be used to extend and integrate with other systems.  ,Cloud Manager,Development,Developer,Beginner
help/cloud-service/./local-development-environment/overview.md,Local Development Environment for AEM as a Cloud Service,Adobe Experience Manager (AEM) local development environment overview.,Developer Tools,Development,Developer,Beginner
help/cloud-service/./local-development-environment/development-tools.md,Set up the development tools for AEM as a Cloud Service development,Set up a local development machine with all the baseline tooling required to develop against AEM locally.,Developer Tools,Development,Developer,Beginner
help/cloud-service/./local-development-environment/aem-runtime.md,Set up Local AEM Runtime for AEM as a Cloud Service Development,Set up the Local AEM Runtime using the AEM as a Cloud Service SDK's Quickstart Jar.,Developer Tools,Development,Developer,Beginner
help/cloud-service/./local-development-environment/dispatcher-tools.md,Set up Dispatcher Tools for AEM as a Cloud Service Development," AEM SDK's Dispatcher Tools facilitates the local development of Adobe Experience Manager (AEM) projects by making it easy to install, run and troubleshoot Dispatcher locally.","Dispatcher, Developer Tools",Development,Developer,Beginner
help/cloud-service/./developing/basics/aem-sdk.md,What is the AEM SDK?,Use and configure the SDK for AEM as a Cloud Service.,Developer Tools,Development,Developer,Beginner
help/cloud-service/./developing/basics/local-development-environment.md,How to Set Up a Local AEM Development Environment,Learn how to download and set up a local development environment using the AEM as a Cloud Service SDK.,Developer Tools,Development,Developer,Beginner
help/cloud-service/./developing/basics/aem-project-archetype.md,How to create an AEM Project using the AEM Maven Project Archetype,"Explore how to create a new AEM application project using the AEM Maven Project archetype, to align to best practices and accelerate the start of AEM development.",AEM Project Archetype,Development,Developer,Beginner
help/cloud-service/./developing/basics/project-structure.md,What is the AEM as a Cloud Service Project Structure?,Explore the best practices for structuring a Maven project for AEM as a Cloud Service.,AEM Project Archetype,Development,Developer,Beginner
help/cloud-service/./developing/basics/mutable-immutable.md,What is Mutable and Immutable content in AEM as a Cloud Service?,Explore how the repositories and packages use both mutable and immutable content and why it is important in AEM as a Cloud Service. ,Developer Tools,Development,Developer,Beginner
help/cloud-service/./developing/basics/repository-structure-package.md,What is the Repository Structure Package in an AEM Project?,"Explore an AEM application's Repository Structure package, its importance and how to properly defined it. ",AEM Project Archetype,Development,Developer,Beginner
help/cloud-service/./developing/basics/content-publishing.md,How does Content Publishing work in AEM as a Cloud Service?,"Explore how content publishing in AEM as a Cloud Service works, including concepts of Content Distribution and the Adobe Pipeline.",Publishing,Development,Developer,Beginner
help/cloud-service/./developing/basics/osgi-configurations.md,How to use OSGi configurations in AEM as a Cloud Service?,Explore how to define and deploy OSGi configuration in AEM as a Cloud Service.,APIs,Development,Developer,Beginner
help/cloud-service/./developing/basics/dispatcher-configuration.md,How to migrate an existing AMS Dispatcher Configuration to AEM as a Cloud Service,Tips and Tricks for migrating the AEM Dispatcher configuration from Adobe Managed Services (AMS) to AEM as a Cloud Service.,Dispatcher,"Development, Migration","Architect, Developer",Beginner
help/cloud-service/./debugging/aem-sdk-local-quickstart/overview.md,Debugging AEM SDK,"AEM SDK is the primary development environment used by developers, and supports a myriad of ways to debug AEM and deployed applications.",Developer Tools,Development,Developer,"Beginner, Intermediate"
help/cloud-service/./debugging/aem-sdk-local-quickstart/logs.md,Debugging AEM SDK using logs,"Logs act as the frontline for debugging AEM applications, but are dependent on adequate logging in the deployed AEM application.",Developer Tools,Development,Developer,"Beginner, Intermediate"
help/cloud-service/./debugging/aem-sdk-local-quickstart/remote-debugging.md,Remote debugging the AEM SDK,"The AEM SDK’s local quickstart allows remote Java debugging from your IDE, allowing you to step through live code execution in AEM  to understand the exact execution flow.",Developer Tools,Development,Developer,"Beginner, Intermediate"
help/cloud-service/./debugging/aem-sdk-local-quickstart/osgi-web-consoles.md,Debugging AEM SDK using the OSGi web console,"The AEM SDK’s local quickstart has an OSGi web console that provides a variety of information and introspections into the local AEM runtime that are useful to understand how your application is recognized by, and functions within AEM.",Developer Tools,Development,Developer,"Beginner, Intermediate"
help/cloud-service/./debugging/aem-sdk-local-quickstart/dispatcher-tools.md,Debugging Dispatcher Tools,The Dispatcher Tools provides a containerized Apache Web Server environment that can be used to simulate AEM as a Cloud Services' AEM Publish service's Dispatcher locally. Debugging Dispatcher Tools' logs and cache contents can be vital in ensuring the end-to-end AEM application and supporting cache and security configurations are correct.,Dispatcher,Development,Developer,"Beginner, Intermediate"
help/cloud-service/./debugging/aem-sdk-local-quickstart/other-tools.md,Other tools for debugging AEM SDK,A variety of other tools can aid in debugging the AEM SDK's local quickstart.,Developer Tools,Development,Developer,"Beginner, Intermediate"
help/cloud-service/./debugging/cloud-service/overview.md,Debugging AEM as a Cloud Service,"on self-service, scalable, cloud infrastructure, which makes requires AEM developers to understand how to understand and debug various facets of AEM as a Cloud Service, from build and deploy to obtaining details of running AEM applications.",Developer Tools,Development,Developer,"Beginner, Intermediate"
help/cloud-service/./debugging/cloud-service/logs.md,Logs,"Logs act as the frontline for debugging AEM applications in AEM as a Cloud Service, but are dependent on adequate logging in the deployed AEM application.",Developer Tools,Development,Developer,Beginner
help/cloud-service/./debugging/cloud-service/build-and-deployment.md,Build and deployments,"Adobe Cloud Manager facilitates the code build and deployments to AEM as a Cloud Service. Failures may occur during steps in the build process, requiring action to resolve them. This guide walks through understanding common failures in in the deployment, and how to best approach them.",Developer Tools,Development,Developer,Beginner
help/cloud-service/./debugging/cloud-service/developer-console.md,Developer console,AEM as a Cloud Service provides a Developer Console for each environment that exposes various details of the running AEM service that are helpful in debugging.,Developer Tools,Development,Developer,Beginner
help/cloud-service/./debugging/cloud-service/crxde-lite.md,CRXDE Lite,"CRXDE Lite is a classic, yet powerful tool for debugging AEM as a Cloud Service Developer environments. CRXDE Lite provides a suite of functionality that aids debugging from inspecting all resources and properties, manipulating the mutable portions of the JCR and investigating permissions. ",Developer Tools,Development,Developer,Beginner
