filename,title,description,feature,topic,role,level
./metadata.md,,,,,,
./help/forms/TOC.md,,,,,,
help/forms/overview.md,AEM Forms Tutorials and Videos,Collection of AEM Forms resources for beginners and experienced AEM Forms developers,,Development,Developer,
help/forms/adaptive-forms/best-practices-adaptive-forms.md,Naming conventions and best practices to be followed when creating adaptive forms,Naming conventions and best practices to be followed when creating adaptive forms,Adaptive Forms,Development,Developer,Beginner
help/forms/adaptive-forms/single-sign-on-with-okta.md,Configuring OKTA with AEM,Understand various configuration settings for using single sign-on using okta,Adaptive Forms,Administration,Administrator,Experienced
help/forms/adaptive-forms/create-your-first-osgi-bundle.md,Creating your first OSGi bundle with AEM forms,Build your first OSGi bundle using maven and eclipse,Adaptive Forms,Development,Developer,Beginner
help/forms/creating-your-first-adaptive-form/introduction-and-setup.md,Getting Started With Adaptive Forms,"This tutorial will walk you through the steps involved in creating multi-tabbed Adaptive Form. You will learn to use Tables, Accordion Layout, and Rule Editor to author business rules. ",Adaptive Forms,Development,Developer,Beginner
help/forms/creating-your-first-adaptive-form/create-adaptive-form-template.md,Creating Adaptive Form Template,The template defines the structure and initial content of the Adaptive Form.,Adaptive Forms,Development,Developer,Beginner
help/forms/creating-your-first-adaptive-form/create-form-fragment.md,Creating Form fragment,AEM forms provides a convenient mechanism to create form segment like a panel or a group of fields only once and reuse them across adaptive forms.,Adaptive Forms,Development,Developer,Beginner
help/forms/creating-your-first-adaptive-form/create-adaptive-form.md,Creating Adaptive Form,"In Part1 we will create Adaptive Form, add and configure toolbar with appropriate buttons.",Adaptive Forms,Development,Developer,Beginner
help/forms/creating-your-first-adaptive-form/configuring-root-panel-and-adding-child-panels.md,Adding Child Panels to Root Panel,"Configuring root panel layout to ""Tabs on Left"" and add child panels to the root panel.",Adaptive Forms,Development,Developer,Beginner
help/forms/creating-your-first-adaptive-form/adding-components-to-people-panel.md,Adding components to People panel,Configure People panel by adding the spouse details fragment. A rule is created to display the spouse details fragment if the applicants marital status is married.,Adaptive Forms,Development,Developer,Beginner
help/forms/creating-your-first-adaptive-form/adding-table-to-income-panel.md,Adding components to Income panel,We will add a table to the Income panel. Configure the table rows and use the rule editor to calculate the grand total.,Adaptive Forms,Development,Developer,Beginner
help/forms/creating-your-first-adaptive-form/configuring-assets-panel.md,Adding components to Assets section,Configure accordion layout for the Assets panel.The accordion layout provides a better end user experience for adding repeatable sections.,Adaptive Forms,Development,Developer,Beginner
help/forms/creating-your-first-adaptive-form/using-custom-functions-and-code-editor.md,Using functions and code editor,Using functions and code editor to author business rule,Adaptive Forms,Development,Developer,Beginner
help/forms/handling-form-submissions/creating-a-review-workflow.md,Creating workflow to review submitted data,Creating AEM Workflow model using AEM Forms workflow components to review submitted data.,Workflow,Development,Developer,Beginner
help/forms/handling-form-submissions/configuring-adaptive-form-to-trigger-workflow.md,Configuring Adaptive Form to trigger AEM Workflow,Configure payload options when triggering AEM workflow on form submission,Workflow,Development,Developer,Beginner
help/forms/handling-form-submissions/submitting-adaptive-forms-thank-you-page-article-use.md,Submitting To Thank You Page,Display a thank you page on submitting Adaptive Form,Adaptive Forms,Development,Developer,Beginner
help/forms/handling-form-submissions/submitting-adaptive-forms-to-external-server-article-use.md,Submitting Adaptive Form to External Server,Submitting Adaptive Form to REST endpoint running on external server,Adaptive Forms,Development,Developer,Beginner
help/forms/handling-form-submissions/sending-email-on-adaptive-form-submission.md,Sending Email on Adaptive Form Submission,Send confirmation email on adaptive form submission using the send email component,Adaptive Forms,Development,Developer,Beginner
help/forms/handling-form-submissions/paid-time-off-request-workflow.md,Simple Paid Time Off Request Workflow,Hide and Show Adaptive Form Panels in AEM Workflow,Adaptive Forms,Development,Developer,Experienced
help/forms/handling-form-submissions/configure-af-to-trigger-aem-workflow.md,Configuring Adaptive Form to trigger AEM Workflow,Understanding the various options in configuring Adaptive Form to trigger AEM Workflow,Workflow,Development,Developer,Beginner
help/forms/handling-form-submissions/customize-assign-task-notification.md,Customize Assign Task Notification,Include form data in the assign task notification e-mails,Workflow,Development,Developer,Experienced
help/forms/some-useful-integrations/two-factor-authentication.md,SMS Two Factor Authentication,Add an extra layer of security to help confirm a user's identity when they want to perform certain activities,Adaptive Forms,Development,Developer,Experienced
help/forms/some-useful-integrations/ocr-data-extraction.md,OCR Data Extraction,Extract data from government issued documents to populate forms.,Barcoded Forms,Development,Developer,Intermediate
help/forms/adaptive-forms/installing-aem-form-on-windows-tutorial-use.md,Simplified Steps for Installing AEM Forms on Windows,Quick and easy steps to install AEM Forms on windows,Adaptive Forms,Development,Developer,Beginner
help/forms/adaptive-forms/prefill-service-adaptive-forms-article-use.md,Prefill Service in Adaptive Forms,Pre-populate adaptive forms by fetching data from backend data sources.,Adaptive Forms,Development,Developer,Intermediate
help/forms/adaptive-forms/custom-submit-aem-forms-article.md,Writing a Custom Submit in AEM Forms,Quick and easy way to create your own custom submit action for Adaptive Form,Adaptive Forms,Development,Developer,Experienced
help/forms/adaptive-forms/forms-captcha-feature-video-use.md,Using CAPTCHAs with AEM Adaptive Forms,Adding and using a CAPTCHA with AEM Adaptive Forms.,"Adaptive Forms,Workflow",Development,Developer,Intermediate
help/forms/adaptive-forms/setvalue-aem-forms-workflow-tutorial-use.md,Using setvalue in AEM Forms workflow,Set Value of Element in Adaptive Forms submitted data in AEM Forms OSGI,Adaptive Forms,Development,Developer,Experienced
help/forms/adaptive-forms/setvalue-json-data-in-aem-forms-workflow-article-use.md,Setting value of Json Data Element in AEM Forms Workflow,"As an Adaptive Form is routed to different users in AEM Workflow, there will be requirements to hide or disable certain fields or panels based on the person reviewing the form. To satisfy these use cases we typically set a value of a hidden field. Based on this hidden field's value business rules can be authored to hide/disable appropriate panels or fields.",Adaptive Forms,Development,Developer,Experienced
help/forms/adaptive-forms/email-step-aem-workflow-video-use.md,Using Send Email Step of  Forms Workflow,Send Email step was introduced in AEM Forms 6.4. Using this step we can build business processes or workflow which will allow you to send emails with or without attachments. The following video walks through the steps for configuring the send email component,Workflow,Development,Developer,Beginner
help/forms/adaptive-forms/document-of-record-api-tutorial-use.md,Using API to generate Document of Record with AEM Forms,Generate Document Of Record (DOR) programmatically,Adaptive Forms,Development,Developer,Experienced
help/forms/adaptive-forms/inline-images-adaptive-forms.md,Displaying inline images in Adaptive Forms,Display uploaded images inline in Adaptive Forms,Adaptive Forms,Development,Developer,Experienced
help/forms/adaptive-forms/using-geolocation-api-in-aem-forms-article.md,Using Geolocation API's in Adaptive Forms,Populate address fields on your form using the geolocation api's,Adaptive Forms,Development,Developer,Experienced
help/forms/adaptive-forms/transaction-reporting-aem-forms-article-use.md,Using Transaction Reporting in AEM Forms,Transaction reports in AEM Forms allow you to keep a count of all transactions taken place since a specified date on your AEM Forms deployment.,Adaptive Forms,Development,Developer,Beginner
help/forms/adaptive-forms/user-profile-data-integration-feature-video-use.md,Using User Profile Data Integration with AEM Forms,Integrating AEM user profile information with Adaptive Forms,Adaptive Forms,Development,Developer,Beginner
help/forms/adaptive-forms/using-ms-dynamics-with-aem-forms.md,Using Microsoft Dynamics with AEM Forms,"This video walks through a workflow showing how AEM Forms can work with Microsoft Dynamics as a back-end data source to deliver interactive, personalized communications.",Adaptive Forms,Development,Developer,Intermediate
help/forms/adaptive-forms/rule-editor-improvements-feature-video-use.md,Rule Editor Improvements in AEM Forms,The rule editor enables users to add logic to AEM Adaptive Forms. AEM 6.3 improves the rule editor in several ways making it easier and faster for both technical and non-technical users alike to add intelligence. ,Adaptive Forms,Administration,Developer,Beginner
help/forms/adaptive-forms/restricting-rule-editor-aem-forms-technical-video-use.md,Restricting the Rule Editor to specific groups in AEM Forms,Restricting the adaptive form Rule Editor to specific groups in AEM,Adaptive Forms,Administration,Business Practitioner,Beginner
help/forms/adaptive-forms/theme-editor-improvements-feature-video-use.md,Theme Editor Improvements in AEM Forms,Improvements to the Theme Editor for adaptive forms in AEM 6.3,Adaptive Forms,Development,Business Practitioner,Beginner
help/forms/adaptive-forms/form-editor-improvements-feature-video-use.md,Form Editor Improvements in AEM Forms,AEM 6.3 introduces several new features and enhancements in this release to simplify the authoring experience of adaptive forms and documents. The enhancements help reduce your time to market and enable business users to work with forms and documents,Adaptive Forms,Development,Business Practitioner,Beginner
